,Precision,Recall,Latency-Retriever,Latency-Generator
0,0.0,0.0,1.2518000602722168,3.134049892425537
1,0.0,0.0,1.093510627746582,0.13916420936584473
2,0.0,0.0,0.9803910255432129,0.09736347198486328
3,0.0,0.0,1.2838187217712402,0.4114067554473877
4,0.0,0.0,0.9677419662475586,0.10364627838134766
5,0.0,0.0,1.0961179733276367,0.8239145278930664
6,0.0,0.0,1.1104209423065186,0.09691143035888672
7,1.0,0.2,1.0941100120544434,0.5326402187347412
8,1.0,0.2,1.0593411922454834,0.09769296646118164
9,1.0,0.2,1.3324947357177734,0.7302768230438232
10,1.0,0.2,1.4377655982971191,0.6591923236846924
11,0.0,0.0,1.4928019046783447,1.1524617671966553
12,0.0,0.0,1.3216750621795654,0.09807252883911133
13,0.0,0.0,1.137432336807251,0.6701791286468506
14,0.0,0.0,1.062757968902588,0.851203203201294
