,Precision,Recall,Latency-Retriever,Latency-Generator
0,0.2,1.0,1.2929894924163818,5.50492262840271
1,0.2,1.0,1.36257004737854,7.891087770462036
2,0.2,0.5,1.195464849472046,6.416945457458496
3,0.4,0.5,1.5620243549346924,2.804718255996704
4,0.6,1.0,1.0288710594177246,5.827218294143677
5,0.2,0.5,1.516840934753418,6.150783061981201
6,0.2,0.5,1.166538953781128,4.268845558166504
7,1.0,1.0,1.4173476696014404,4.816387414932251
8,1.0,1.0,0.9616818428039551,6.578695058822632
9,1.0,1.0,1.1422569751739502,4.6248698234558105
10,1.0,1.0,1.2113399505615234,5.439645051956177
11,0.6,0.75,1.1997590065002441,2.7786011695861816
12,0.6,1.0,0.8652951717376709,6.382391452789307
13,0.6,0.6,1.5815000534057617,4.131417512893677
14,0.8,0.8,1.31663179397583,8.6042799949646
