,Precision,Recall,Latency-Retriever,Latency-Generator
0,0.0,0.0,4.8917412757873535,10.678383827209473
1,0.0,0.0,2.3429245948791504,1.1625499725341797
2,0.0,0.0,2.573662042617798,6.249722242355347
3,0.0,0.0,4.010815620422363,8.216857194900513
4,0.0,0.0,4.005825042724609,11.851816654205322
5,0.0,0.0,4.786333799362183,17.657562255859375
6,0.0,0.0,3.887502908706665,18.00330686569214
7,0.0,0.0,3.1041276454925537,11.581685304641724
8,0.0,0.0,3.5014138221740723,9.287728786468506
9,0.0,0.0,2.292724132537842,14.160486936569214
10,0.0,0.0,4.529717922210693,14.896544456481934
11,0.0,0.0,2.130542278289795,10.329826354980469
12,1.0,0.25,4.0518763065338135,8.458402156829834
13,0.0,0.0,2.4132986068725586,10.216745376586914
14,0.0,0.0,2.4248244762420654,9.576665878295898
