,Precision,Recall,Latency-Retriever,Latency-Generator
0,0.0,0.0,5.054569721221924,12.043984413146973
1,0.0,0.0,2.840224027633667,8.546042442321777
2,0.0,0.0,3.081156015396118,9.341966152191162
3,0.0,0.0,4.297821044921875,7.110954284667969
4,0.0,0.0,4.598938703536987,11.10929560661316
5,0.0,0.0,5.202686071395874,15.190214157104492
6,0.0,0.0,4.498584985733032,14.79367446899414
7,0.0,0.0,3.571922540664673,11.101078748703003
8,0.0,0.0,3.9896650314331055,10.816807270050049
9,0.0,0.0,2.767679452896118,12.014158964157104
10,0.3333333333333333,1.0,4.619388103485107,16.615374326705933
11,0.0,0.0,2.854062080383301,13.391288757324219
12,0.0,0.0,4.212789297103882,9.124282121658325
13,0.0,0.0,2.9577300548553467,7.786792516708374
14,0.0,0.0,3.473451852798462,15.41465425491333
