,Precision,Recall,Latency-Retriever,Latency-Generator
0,0.2,1.0,0.9897220134735107,6.903136253356934
1,0.2,1.0,1.26835036277771,7.655127286911011
2,0.2,0.5,1.396322250366211,7.116455793380737
3,0.4,0.5,1.1605727672576904,2.7812907695770264
4,0.6,1.0,1.1101527214050293,6.428804636001587
5,0.2,0.5,1.428579330444336,3.94270920753479
6,0.2,0.5,1.442476511001587,5.156245708465576
7,1.0,1.0,0.9879286289215088,5.7342529296875
8,1.0,1.0,1.1172232627868652,5.601059675216675
9,1.0,1.0,1.1258327960968018,4.919780015945435
10,1.0,1.0,1.339500904083252,3.8547816276550293
11,0.6,0.75,1.1571173667907715,2.4500856399536133
12,0.6,1.0,1.3866839408874512,6.628494739532471
13,0.6,0.6,1.1620192527770996,7.391876459121704
14,0.8,0.8,1.0769984722137451,5.084949016571045
