,Model,Latency-Generator
0,deepseek-r1:1.5b,14.0031947294871
1,gemma2:2b,14.287056128184
2,llama2:13b,72.19064791997273
3,llama3.2:3b,14.012724876403809
4,mistral:latest,22.3547945022583
5,mistrallite:latest,20.42470145225525
6,qwen:1.8b,5.004230658213298
7,qwen:4b,5.058344761530559
8,qwen2.5:0.5b,5.66171924273173
9,qwen2.5:1.5b,9.644121249516806
10,qwen2.5:14b,46.14466881752014
11,qwen2.5:3b,15.169909318288168
12,qwen2.5-coder:1.5b,7.602213621139526
