,Model,Latency-Generator
0,llama3.2:3b,6.260692437489827
1,llama2:13b,37.718106444676714
2,gemma2:2b,9.61617504755656
3,deepseek-r1:1.5b,6.548801867167155
4,codestral:22b,87.97927907307943
5,codellama:7b,12.35310435295105
6,codegemma:2b,3.021581443150838
7,mistral:latest,9.011176204681396
