,K,Precision@K,Recall@K,Latency
0,7,0.5178571428571428,0.7708333333333333,1.032509446144104
1,5,0.825,0.89375,1.3089085221290588
2,3,0.6666666666666666,0.42291666666666666,1.1516271233558655
3,1,0.5,0.1,1.3081642985343933
