,K,Precision@K,Recall@K,Latency
0,7,0.5178571428571428,0.7708333333333333,1.384608805179596
1,5,0.825,0.89375,1.3371208310127258
2,3,0.6666666666666666,0.42291666666666666,1.1093745529651642
3,1,0.5,0.1,1.3361946642398834
